Nom de famille;Nom de fournisseur;Nom de produit;Date ANDEVA;Date INRS;info date (1,2,3,4,5,6,7,8);Type d'amiante;Type d'utilisation;Nouveau nom
Enduits;COPRIS-ISOLATION SA ET ISOMACO; COPRISPRAY;;;;;;
Enduits;CIDE;CRIDOFEU FA;;12/1977;3;Amiant;;
Enduits;SEPREBA;FIBROCOAT;;03/1981;3;Amiante;;
Enduits;ISOPHONE MARQUISE;ISIPHONE IG ET IT;11/1980;;;;;
Enduits;PREFABRICATION MODERNE;KAPPA CL;;;;;;
Enduits;STE PATOURET DUBOIS et FILS;RESISTOFEU;03/1988;;;;;
Enduits de façade;CHIMIE DU BATIMENT;BETENDUIT SPECIAL JOINTS;03/1994;;1;Amiante;Joint béton;
Enduits de façade;SUISSE; KENITEX;;;;;;
Enduits de façade;MIPLACOL;PARMUR FILLING;11/1980;;3;Amiante;Enduits;
Enduits de façade;UNITECTA-FRANCE;VICRIL G;;;;;;
Enduits-plâtre de protection incendie;CFPI;ENDUIT 1000;02/1988;;1;Amiante;Enduits;
Enduits-plâtre de protection incendie;LAMBERT INDUSTRIES;PROGYPSOL;1985;;5;Chrysotile;Plâtre;
Enduits-plâtre de protection incendie;LAMBERT INDUSTRIES;LUTECE PROGYPSOL;1985;;5;Chrysotile;Plâtre;
Mortiers colles;;PHILPLUG;;;;;;
Mortiers colles;;POLYPLUG;environ 1992;;;;;
Mortiers colles;;SCOREI;;;;;;
Mortiers colles;CAPEBOARD;SUPALUX S;;;;;;
Mortiers colles;ETUDES ET PROMOTION DE L'ISOLATION DU BATIMENT;XTHERM-MORTIER TX 3;;09/1981;3;Chrysotile;Colles;
Mortiers de protection incendie;MIPLACOL;MORTIER ISOTECT;03/1980;;3;Amiante;Isolation thermique;
Mortiers réfractaires;PIROBOW (GB);PYROTHERM TYPE 1;;;;;;
Poudre à mouler;VYNICOLIT NV;VYNICOLIT 813.10.00 BLACK;;01/1996;3;Amiante;Poudre à mouler;
Colles;CFPI;ADHESIF 81-33;12/1980;;1;Amiante;Adhésif;
Colles;CFPI;ADHESIF 81-93;04/1976;;1;Amiante;Adhésif;
Colles;CFPI;ADHESIF FIBRE 81-27;03/1986;;1;Amiante;Adhésif;
Colles;SEA;ADHESIGLUE S;1987;;2;Amiante;Adhésif;
Colles;EMFI;CALITHAN;11/1994;;1;Chrysotile;;
Colles;KLEIBERIT CHIMIE;COLLE 596.8.A;1985;;3;Amiante;;
Colles;KLEBERITCHIMIE;COLLE 596 8 A;;;;;;
Colles;EMFROCKWOOLISOLATION;COLLE RW 302;;;;;;
Colles;R SA;COLLE FIXOCLIPS;06/1982;;3;Amiante;;
Colles;CFPI;ELEASTOLAR;;;;;;
Colles;ROUSSELOT SA;FIXOCLIPS;;;;;;
Colles;CFPI;FLEXTRA;06/1988;;1;Amiante;;
Colles;CFPI;FOAMSEAL;;;;;;
Colles;BITULAC;GELEPOX BI;;1987;5;Chrysotile;;
Colles;SEA;GENTIA DALLE;1987;07/1980;;;;
Colles;SOPAP;ISOCOL COLLE PU 403;07/1980;08/1983;;;;
Colles;EMFI;ISOLEMFI 5801/01 MONO;08/1983;;;;;
Colles;EMFI;ISOLEMFI 50020 A MONO;07/1995;;;;;
Colles;EMFI;ISOLEMFI S 35;02/1996;;;;;
Colles;CFPI;LAGTONE;04/1993;;;;;
Colles;BASF AG;METBLOND 328 et 329;01/1993;;7;Amiante;Adhésif;
Colles;CFPI;MONOLAR;;;;;;
Colles;EMFI;ORDOCOL PU ASSEMBLAGE;04/1993;;1;Chrysotile;;
Colles;EMFI;ROCKWOOL RW 301;07/1995;;1;Chrysotile;;
Colles;EMFI;ROCKWOOL ISOLATION;02/1996;;1;Chrysotile;;
Colles;EMFI;ROCKWOOL RW 302;02/1996;;1;Chrysotile;;
Colles;CFPI;SEALANT;;;;;;
Colles;CFPI;SEALFAS;;;;;;
Colles;CFPI;STECAD;;;;;;
Colles;CECA;TOPFIX NA 62;05/1989;;;;;
Enduits;CHIMIE DU BATIMENT;BENTENDUIT;;;;;;
Enduits;BITULAC;BITUSEALAC;;;;;;
Enduits;EMFI SA;ETILANE;;;;;;
Enduits;SEPREBA;FIBROCOAT;03/1981;;;;;
Enduits;GEB;FILGUM;05/1991;;1;Amiante;Mastics;
Enduits;GEB;FILGUM AF;05/1991;;4;Amiante;Mastics;
Enduits;GEB;CORDON;05/1991;;4;Amiante;Mastics;
Enduits;GEB;GLASTOL;05/1991;;1;Amiante;Mastics;
Enduits;SEPREBA;RAGRECOAT;03/1981;;3;Amiante;;
Enduits;CAOUTCHOUC D'ARGENTEUIL;RAINEX 407;07/1994;;3;Amiante;;
Enduits;CFPI;REVETEMENT 036;12/1977;;5;Amiante;;
Enduits;GEB;TOITUROL;05/1991;;1;Amiante;Mastics;
Mastics;GEB;CALORIGEB;05/1991;;1;Amiante;Mastics;
Mastics;GEB;CORDON;05/1991;;;;;
Mastics;TREMCO;CWS;06/1994;;1;Chrysotile;;
Mastics;CFPI;ELASTOLAR 95-44;06/1981;;4;Amiante;;
Mastics;CFPI;ELASTOLAR 95-49;06/1982;;4;Amiante;;
Mastics;TREMCO;FIBERMAT;;;;;;
Mastics;GEB;FILGUM;05/1991;;;;;
Mastics;GEB;FILGUM AF;05/1991;;;;;
Mastics;GEB;FIRESEAL;03/1996;;3;Chrysotile;Tresses;
Mastics;GEB;GLASTOL;;;;;;
Mastics;SAIM;IMPERMastic 1521;05/1991;1990;;;;
Mastics;CFPI;Mastic 60-25;06/1990;;1;Amiante;;
Mastics;CFPI;Mastic 60-26;06/1990;;4;Amiante;;
Mastics;CFPI;Mastic 60-30;06/1990;;5;Amiante;;
Mastics;CFPI;Mastic 60-42;05/1990;;5;Amiante;;
Mastics;CFPI;Mastic 60-75;03/1987;;1;Amiante;;
Mastics;CFPI;Mastic 65-05;03/1988;;1;Amiante;;
Mastics;CFPI;Mastic 65-06;07/1988;;1;Amiante;;
Mastics;CFPI;Mastic 65-07;10/1980;;1;Amiante;;
Mastics;CFPI;Mastic 65-15;07/1988;;5;Amiante;;
Mastics;CFPI;Mastic 90-07;05/1990;;1;Amiante;;
Mastics;CFPI;Mastic 90-10;11/1981;;1;Amiante;;
Mastics;BITULAC;Mastic E2RS;environ 1990;;5;Chrysotile;;
Mastics;ISOFRA;MASTIK IK 14;1995;;1;Aminate;;
Mastics;3M;Mastic METAL SCOTCH-SEAL 800;environ 1992;;3;Amiante;;
Mastics;RENAULT;Mastic PARE-BRISE ET SOUDURE PARPOINTS;09/1981;;3;Amiante;;
Mastics;BITULAC;Mastic POXETAR BT;09/1996;;1;Chrysotile;;
Mastics;BITULAC;BTL;09/1996;;1;Chrysotile;;
Mastics;BITULAC;MASTILATEX M;1994;;1;Chrysotile;;
Mastics;BITULAC;MASTILATEX P;1994;;1;Chrysotile;;
Mastics;TREMCO;MONO;1995;12/1989;;;;
Mastics;TREMCO;PENUFELT;12/1989;06/1994;;;;
Mastics;PERENNATORWERK;PEVIT HP PARTIE A;;04/1983;3;Amiante;;
Mastics;PERENNATOR;PEVIT HP PARTIE A;;;;;;
Mastics;TREMCO;POLYROOF;;12/1991;1;Chrysotile;Mastic bitume;
Mastics;TREMCO;POLYSHIM;;12/1991;1;Chrysotile;Cordons;
Mastics;LE JOINT FRANCAIS;PR 1403 GA;04/1983;;8;;;PR 1403 GA NA
Mastics;LE JOINT FRANCAIS;PR 1403 GB;04/1983;;8;;;PR 1403 GB NA
Mastics;LE JOINT FRANCAIS;PR 1422 A;05/1994;;;;;
Mastics;LE JOINT FRANCAIS;PR 1422 B;05/1994;;;;;
Mastics;LE JOINT FRANCAIS;PR 1425 B;05/1994;;8;;;PR 1425 B NA
Mastics;LE JOINT FRANCAIS;PR 1435;05/1994;;8;;;PR 1435 NA
Mastics;LE JOINT FRANCAIS;PR 1436 GA;05/1994;;8;;;PR 1436 GA NA
Mastics;LE JOINT FRANCAIS;PR 1436 GB;05/1994;;8;;;PR 1436 GB NA
Mastics;CFPI;SEALANT J 304;environ 1993;;1;Amiante;;
Mastics;CFPI;SEALER 30-43;03/1987;;1;Amiante;;
Mastics;CFPI;SEALFAS GPM 45-00;10/1988;;7;Amiante;;
Mastics;CFPI;SEALFAS GPM 4500 W;05/1977;;1;Amiante;;
Mastics;CFPI;SEALFAS MAST 41-99;12/1990;;1;Amiante;;
Mastics;TREMCO;SEAMSEALER;02/1988;;7;Chrysotile;;
Mastics;BITULAC;SILENCE MARINE;06/1994;;5;Chrysotile;;
Mastics;BITULAC;SILENCE STANDARD;1994;;1;Chrysotile;;
Mastics;BITULAC;SILENCE STANDARD A 15;1995;;5;Chrysotile;;
Mastics;TREMCO;TREMSHIELS BUTYL;;06/1994;7;Chrysotile;;
Mastics;TREMCO;TRUBUTYL;06/1994;;1;Chrysotile;;
Mastics;TREMCO;TRUBYTIL;;;;;;
Mastics;PERENNATORWERK;TX 20001 S;06/1994;;;;;
Mastics;PERENNATOR;TX 2001 S;06/1979;;3;Amiante;;
Mastics;FERLAM ET PATOURET-DUBOIS et FILS;LITAFLEX;;;;;;
Mastics;FERLAM;LITATHERM;12/1975;;3;Amiante;Isolant thermique;
Pâte à joint;CFPI;FOAMSEL 30-45;02/1988;;1;Amiante;;
Pâte à joint;FLERTEX;PLASTEX;09/1990;;;;;
Pâte à joint;REINZ;REINZ SUPER SPEZIAL;1993;;7;Amiante;Materiau pour joints;
Peintures;CHEMOYE FRANCE;FILLER COAT BINDER 900-15;04/1984;;3;Amiante;;
Peintures;GREGGORY;FLEXIROC HURON I RH 168;03/1985;;3;Amiante;;
Peintures;GREGGORY;MAC GREGOR FLASH I RH 231;05/1985;;3;Amiante;;
Peintures;GREGGORY;MAC GREGOR MISSOURI I RH 250;06/1986;;3;Amiante;;
Peintures;BITUMastic;PEINTURES 54 S;environ 1991;;1;Amiante;;
Peintures;GREGGORY;PEINTURE BLANCHE IRH 144;01/1984;;3;Amiante;;
Peintures;BITULAC;TARPOX 160 km;;;;;;
Cartons;DFC;ANR 00 A;1996;;;Chrysotile;Isolant thermique;
Cartons;DFC;ANZ 00 A GRIS;1996;;;Chrysotile;Isolant thermique;
Cartons;DFC;ATR 00 A;1996;;;Chrysotile;Isolant thermique;
Cartons;FERLAM;DECOR DE LUXE;12/1975;;3;Amiante;Isolant thermique;
Cartons;DFC;DURESTOS;1996;;;Chrysotile;Isolant thermique;
Cartons;COMM. D'EXP. INDUS;DURESTOS RA 1;12/1995;;7;Chrysotile;;
Cartons;COMM. D'EXP. INDUS;DURESTOS RA 16;12/1995;;7;Chrysotile;;
Cartons;FERODO;ONDULAM;;;;;;
Cartons;PATURET-DUBOIS et FILS;PADUFLON;;;;;;
Cartons;PATURET-DUBOIS et FILS;PADUSOL;;;;;;
Cartons;PATURET-DUBOIS et FILS;PADUTEX;;;;;;
Cloisons;SGEI;PLACOFLAM;;;;;;
Coquilles;JOHNS-MANVILLE;FIBROSILEX;;;6;Amiante;Isolant thermique;
Coquilles;FERODO;ISOLFORT;;;;;;
Coquilles;FERODO;ISOLVIT;;;;;;
Coquilles;JOHNS MANVILLE;SUPEREX;;;6;amiante;Isolant thermique;
