Nom de famille;Nom de fournisseur;Nom de produit;Date ANDEVA;Date INRS;info date (1,2,3,4,5,6,7,8);Type d'amiante;Type d'utilisation;Nouveau nom;Classe supérieure
Enduit;COPRIS-ISOLATION SA ET ISOMACO; COPRISPRAY;;;;;;;
Enduit;CIDE;CRIDOFEU FA;;déc-77;3;Amiant;;;
Enduit;SEPREBA;FIBROCOAT;;mars-81;3;Amiante;;;
Enduit;ISOPHONE MARQUISE;ISIPHONE IG ET IT;nov-80;;;;;;
Enduit;PREFABRICATION MODERNE;KAPPA CL;;;;;;;
Enduit;STE PATOURET DUBOIS et FILS;RESISTOFEU;mars-88;;;;;;
Enduit de façade;CHIMIE DU BATIMENT;BETENDUIT SPECIAL JOINTS;mars-94;;1;Amiante;Joint béton;;Enduit
Enduit de façade;SUISSE; KENITEX;;;;;;;Enduit
Enduit de façade;MIPLACOL;PARMUR FILLING;nov-80;;3;Amiante;Enduit;;Enduit
Enduit de façade;UNITECTA-FRANCE;VICRIL G;;;;;;;Enduit
Enduit-plâtre de protection incendie;CFPI;ENDUIT 1000;févr-88;;1;Amiante;Enduit;;Enduit
Enduit-plâtre de protection incendie;LAMBERT INDUSTRIES;PROGYPSOL;1985;;5;Chrysotile;Plâtre;;Enduit
Enduit-plâtre de protection incendie;LAMBERT INDUSTRIES;LUTECE PROGYPSOL;1985;;5;Chrysotile;Plâtre;;Enduit
Mortier colle;;PHILPLUG;;;;;;;Colle
Mortier colle;;POLYPLUG;environ 1992;;;;;;Colle
Mortier colle;;SCOREI;;;;;;;Colle
Mortier colle;CAPEBOARD;SUPALUX S;;;;;;;Colle
Mortier colle;ETUDES ET PROMOTION DE L'ISOLATION DU BATIMENT;XTHERM-MORTIER TX 3;;sept-81;3;Chrysotile;Colle;;Colle
Mortiers de protection incendie;MIPLACOL;MORTIER ISOTECT;mars-80;;3;Amiante;Isolation thermique;;
Mortiers réfractaires;PIROBOW (GB);PYROTHERM TYPE 1;;;;;;;
Poudre à mouler;VYNICOLIT NV;VYNICOLIT 813.10.00 BLACK;;janv-96;3;Amiante;Poudre à mouler;;
Colle;CFPI;ADHESIF 81-33;déc-80;;1;Amiante;Adhésif;;
Colle;CFPI;ADHESIF 81-93;avr-76;;1;Amiante;Adhésif;;
Colle;CFPI;ADHESIF FIBRE 81-27;mars-86;;1;Amiante;Adhésif;;
Colle;SEA;ADHESIGLUE S;1987;;2;Amiante;Adhésif;;
Colle;EMFI;CALITHAN;nov-94;;1;Chrysotile;;;
Colle;KLEIBERIT CHIMIE;COLLE 596.8.A;1985;;3;Amiante;;;
Colle;KLEBERITCHIMIE;COLLE 596 8 A;;;;;;;
Colle;EMFROCKWOOLISOLATION;COLLE RW 302;;;;;;;
Colle;R SA;COLLE FIXOCLIPS;juin-82;;3;Amiante;;;
