Nom de famille;Nom de fournisseur;Nom de produit;Date ANDEVA;Date INRS;info date (1,2,3,4,5,6,7,8);Type d'amiante;Type d'utilisation;Nouveau nom;Classe supérieure
Enduit;COPRIS-ISOLATION SA ET ISOMACO; COPRISPRAY;;;;;;;
Enduit;CIDE;CRIDOFEU FA;;12/1977;3;Amiant;;;
Enduit;SEPREBA;FIBROCOAT;;03/1981;3;Amiante;;;
Enduit;ISOPHONE MARQUISE;ISIPHONE IG ET IT;11/1980;;;;;;
Enduit;PREFABRICATION MODERNE;KAPPA CL;;;;;;;
Enduit;STE PATOURET DUBOIS et FILS;RESISTOFEU;03/1988;;;;;;
Enduit de façade;CHIMIE DU BATIMENT;BETENDUIT SPECIAL JOINTS;03/1994;;1;Amiante;;;Enduit
Enduit de façade;SUISSE; KENITEX;;;;;;;Enduit
Enduit de façade;MIPLACOL;PARMUR FILLING;11/1980;;3;Amiante;;;Enduit
Enduit de façade;UNITECTA-FRANCE;VICRIL G;;;;;;;Enduit
Enduit-plâtre de protection incendie;CFPI;ENDUIT 1000;02/1988;;1;Amiante;;;Enduit
Enduit-plâtre de protection incendie;LAMBERT INDUSTRIES;PROGYPSOL;1985;;5;Chrysotile;;;Enduit
Enduit-plâtre de protection incendie;LAMBERT INDUSTRIES;LUTECE PROGYPSOL;1985;;5;Chrysotile;;;Enduit
Mortier colle;;PHILPLUG;;;;;;;Colle
Mortier colle;;POLYPLUG;environ 1992;;;;;;Colle
Mortier colle;;SCOREI;;;;;;;Colle
Mortier colle;CAPEBOARD;SUPALUX S;;;;;;;Colle
Mortier colle;ETUDES ET PROMOTION DE L'ISOLATION DU BATIMENT;XTHERM-MORTIER TX 3;;09/1981;3;Chrysotile;;;Colle
Mortiers de protection incendie;MIPLACOL;MORTIER ISOTECT;03/1980;;3;Amiante;Isolation thermique;;
Mortiers réfractaires;PIROBOW (GB);PYROTHERM TYPE 1;;;;;;;
Poudre à mouler;VYNICOLIT NV;VYNICOLIT 813.10.00 BLACK;;01/1996;3;Amiante;Poudre à mouler;;
Colle;CFPI;ADHESIF 81-33;12/1980;;1;Amiante;Adhésif;;
Colle;CFPI;ADHESIF 81-93;04/1976;;1;Amiante;Adhésif;;
Colle;CFPI;ADHESIF FIBRE 81-27;03/1986;;1;Amiante;Adhésif;;
Colle;SEA;ADHESIGLUE S;1987;;2;Amiante;Adhésif;;
Colle;EMFI;CALITHAN;11/1994;;1;Chrysotile;;;
Colle;KLEIBERIT CHIMIE;COLLE 596.8.A;1985;;3;Amiante;;;
Colle;KLEBERITCHIMIE;COLLE 596 8 A;;;;;;;
